Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL
5bed+ Bq..,Other,"5 bedroom House for sale Ikeja GRA Ikeja Lagos selling for ₦1,900,000,000.",1900000000,5,6,6,Ikeja Gra Ikeja Lagos,Ikeja,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5bed-detachedbq-uUuxcZ6az8FK6XaHEDJ7.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-sl1lGovnocZjgLxccLmx.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-KnldsiDCf9ovkGuxWqfi.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-bJzaepoOate3JUcOJbyS.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-xHWsu5cvEoyoq38aWUZF.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-Sa02rS7THGTZ2Zjp5FnQ.jpg"", ""https://images.propertypro.ng/large/5bed-bq-sZVssDCjlI5JZsx6YBr5.jpg"", ""https://images.propertypro.ng/large/5bed-bq-To56QdepWui3wBHoSCtS.jpg"", ""https://images.propertypro.ng/large/5bed-bq-IvJknwAsHbjuN4FNk0tM.jpg"", ""https://images.propertypro.ng/large/5bed-bq-i6d3WGuODzH7YL31RQml.jpg"", ""https://images.propertypro.ng/large/5bed-bq-MItw7WEIrzWctJbv5EXj.jpg"", ""https://images.propertypro.ng/large/5bed-bq-lREudj1X10herZ0N0fKE.jpg"", ""https://images.propertypro.ng/large/5bed-bq-a2AFATohkXDqXttjsLwp.jpg"", ""https://images.propertypro.ng/large/5bed-bq-QvltpPLVIwcd4fK3lTB2.jpg"", ""https://images.propertypro.ng/large/5bed-bq-Zwz8ciqs06inQNpITqe1.jpg"", ""https://images.propertypro.ng/large/5bed-bq-TeQCZdVl3jT2ifmHlcJC.jpg"", ""https://images.propertypro.ng/large/5bed-bq-dM89Ci1Dj8LERxA3R0r6.jpg"", ""https://images.propertypro.ng/large/5bed-bq-RGrx6ad0yYFSBlaFjdIF.jpg"", ""https://images.propertypro.ng/large/5bed-bq-PCzNvHn6Y8wNWj93KoJn.jpg"", ""https://images.propertypro.ng/large/5bed-bq-DkRwszwKGd5sCxOtEROM.jpg"", ""https://images.propertypro.ng/large/5bed-bq-FFHlNFswuuasp3xc3Iac.jpg"", ""https://images.propertypro.ng/large/5bed-bq-spV9sFrd9GD6A5jQLMeI.jpg"", ""https://images.propertypro.ng/large/5bed-bq-vUwiIlJhzwncC8DHmQln.jpg"", ""https://images.propertypro.ng/large/5bed-bq-kc9F0fo88qXFLVoNznxR.jpg"", ""https://images.propertypro.ng/large/5bed-bq-0TCZzjgXqLjSJBoTDjyC.jpg"", ""https://images.propertypro.ng/large/5bed-bq-1vWSEncRMPqPY3qYESNS.jpg"", ""https://images.propertypro.ng/large/5bed-bq-aGaxXut0CbWjI8f6GfVX.jpg"", ""https://images.propertypro.ng/large/5bed-bq-4zMelHzkliSVuw70iaxf.jpg"", ""https://images.propertypro.ng/large/5bed-bq-EEJYkaEgtclhOpBTmEaz.jpg"", ""https://images.propertypro.ng/large/5bed-bq-H9iUIGG7ld8tPkGwcS4Z.jpg"", ""https://images.propertypro.ng/large/5bed-bq-4zMZ8qiiclJrarUrJ5FP.jpg"", ""https://images.propertypro.ng/large/5bed-bq-t8KqZMG7DV1SJvgird9q.jpg"", ""https://images.propertypro.ng/large/5bed-bq-JLWhwZTRehIesIkph9jl.jpg"", ""https://images.propertypro.ng/large/5bed-bq-m1AYS8eshEET2szAjvrP.jpg"", ""https://images.propertypro.ng/large/5bed-bq-gJ1MprHF8WCjEGIyUb1b.jpg"", ""https://images.propertypro.ng/large/5bed-bq-05PEHxPdL2t36lRJ464a.jpg"", ""https://images.propertypro.ng/large/5bed-bq-iJSfE4o1XDV3sz1Evjio.jpg"", ""https://images.propertypro.ng/large/5bed-bq-VkdgN6WJdVrsIz8XQZAD.jpg"", ""https://images.propertypro.ng/large/5bed-bq-KJyJDuZlp8BKzi7pqIcZ.jpg"", ""https://images.propertypro.ng/large/5bed-bq-Si00G99Sj1zpI3K57tBw.jpg"", ""https://images.propertypro.ng/large/5bed-bq-BxIFotjoymQnnCvnb1gg.jpg"", ""https://images.propertypro.ng/large/5bed-bq-mjx0T635hOOSx50wvboW.jpg"", ""https://images.propertypro.ng/large/5bed-bq-JmzPfUicWZyJvVyOB1Th.jpg""]",Fully Furnished,"[""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""All Room Ensuit"", ""24 hours Electricity"", ""CCTV Cameras"", ""Drainage System"", ""Jacuzzi"", ""Parking Space"", ""Water Treatment"", ""POP Ceiling"", ""C of O"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-6NUNF
4 Bedroom Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦150,000,000.",150000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-RNvcJw1yck7jOaDUg4lS.jpg""]",Fully Furnished,"[""Big Compound"", ""24 Hours Security"", ""Children Play Ground"", ""Parking Space""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-9NQKA
5bed Terraces+bq,Other,"5 bedroom House for sale (in An Estate) Maryland Lagos selling for ₦300,000,000.",300000000,5,6,6,(in An Estate) Maryland Lagos,Maryland,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5bed-terracesbq-aZ5uyJZfqdEt8ANYU1wF.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-Z370eN5VQ0KhJ80skx6k.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-d4zQaoR7Mgq7bObvEbIH.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-rLAhqRwLriG32g96yfp1.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-RWq96dKyVW1Mbg5n2mop.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-1my5FjGd3bKuHcrfSpb4.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-XJAGGlg1rRAJ48P8sXUM.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-vDOanfFFvsmYSV4pLZ2D.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-Ek40CMeRChcGJkIvcvBu.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-RVxSnd4xQzYhMVR4sf7W.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-PxK8NjJ68ipfzc3R10vK.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-ryc62w8GUlOwiijFp5FQ.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-LPoR8XBFFywDsucIvs4J.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-aquToDZfpJyxIou6GDAK.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-kMT59Ql33Q5LAhSPnHQC.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-Yo8oPXOL6vnSsfUIkxOo.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-vNx3DClsHsuUmDeeUERN.jpg""]",Fully Furnished,"[""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""24 hours Electricity"", ""All Room Ensuit"", ""Drainage System"", ""Jacuzzi"", ""CCTV Cameras"", ""Parking Space"", ""Water Treatment"", ""POP Ceiling"", ""C of O"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/5-bedroom-house-for-sale-in-an-estate-maryland-lagos-5PBFQ
Brand New 5 Bedroom Detached Duplex,Detached Duplex,"5 bedroom House for sale Lekki Phase 1 Lekki Lagos selling for ₦1,200,000,000.",1200000000,5,5,6,Lekki Phase 1 Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-uYq2gQdZncpZp6FwpM7t.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-tttNBwA76X7YE5vRXHWe.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-041ve2jbeWPZY7IfsL4b.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-NdZzhzRUaPcOH5oE2ntc.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-H6dHc7BaU3om3iuPrmZC.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-UjqZlZjDvqz5bwfFWJMB.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-38jnpghaYuRBj28OxZ8U.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-ixUgMMgyZEJ2nUh0GcMT.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-JzAqEA0SS38mk4qwKNnq.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-v89HuoJjVqzZORi3mMBc.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-CadclSy3M2O3WresmKwV.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-LPgGiMxOqev4roS6wQ41.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-GLDhwEBRHUXduis85thD.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-AjOKBDVE37CJdAcvqWDJ.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-6bP6jWs7QZWlT6PjbwGN.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-BVQD7tpQAzExtQYxWjJR.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-NJzMRKbz2NIUlVGwAIbG.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-pybbmgFgb86mansUjSLd.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-ddJrdHUpZoIfZTYPkqHE.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""All Room Ensuit"", ""Security"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4PBXQ
5 Bedroom Semi Detached Duplex,Detached Duplex,"5 bedroom House for sale Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos selling for ₦210,000,000.",210000000,5,0,0,"Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos",Ajah,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-t7Sv19EHJGB40RqS2oOA.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-hnIE1ZCBNI4AXzvkU601.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-7wZTBsmBrblpEqwIz2nm.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-z3CwVQlBKg15OseUGlxS.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-6xH0mupDLEf9cOe5dm9Q.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-j6KnjNfpMAKeU45MHBB1.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-NjRuwoe8GLoeUkcfHBjo.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-beOChSPwn3Dn9kFE7VnU.jpg""]",Fully Furnished,"[""Swimming Pool"", ""Governor's Consent"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palms-city-estate-off-lekki-epe-express-way-ado-road-ajah-lagos-7NWAS
5 Bedroom Bungalow,Bungalow,"5 bedroom House for sale Ayegoro Estate Akobo Ibadan Oyo selling for ₦145,000,000.",145000000,5,6,6,Ayegoro Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-bungalow-xK0L6E1O5pQu6sE9jgls.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-BS8vluhNZkcip4DTFuYd.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-lMustTPFTimGlTxcE8Tt.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-JmfFldyerDMUZFjSJFzR.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-CI33BoO2sVSsaSak6wH1.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-FIdF0H7DDhhshqK4a3vT.jpg""]",Fully Furnished,"[""Big Compound"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-ayegoro-estate-akobo-ibadan-oyo-0NPVV
4 Bedroom Duplex,Duplex,"4 bedroom House for sale Carlton Gate Estate Akobo Ibadan Oyo selling for ₦270,000,000.",270000000,4,0,0,Carlton Gate Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-duplex-ZwWf0Ebp9IPLJl9izshu.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-7NZat3ZNHaLDfd1h78AL.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-P3aior2qluvAJbS7bDXV.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-CdlHdxCAkKtx3a5sP3Ib.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-PvkUrIhTFRCc8hmmGWGN.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-JDXvcYwSbiWaUhwR55CP.jpg""]",Fully Furnished,"[""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-carlton-gate-estate-akobo-ibadan-oyo-8NPXR
5 Bedroom Semi Detached House,Detached House,"5 bedroom House for sale Idu Abuja selling for ₦370,000,000.",370000000,5,5,6,Idu Abuja,Idu,Abuja,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-dNTQm1GYRBCgTaVMgP1F.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-lulxwmTypHuYcYW9zf7L.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-DSCyM3gfmumvFANYgDfT.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pBBu4zsb8o8xpYBbHbQp.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-TU4nC5LQ5B8Hiklp01RI.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-rNoSkJQTHOhTL17DwuzK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-y6TyxhpuFnBfJQbgdyQ6.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-p7j2SFAhxgLPjideowAi.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pPGm9FP9ufGF3BHx8TD7.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-deOdrQf0nfDUe3i0B7dd.jpeg""]",Fully Furnished,"[""Street Lights"", ""24 Hours Security"", ""Big Compound"", ""Restaurants Nearby"", ""All Room Ensuit"", ""Drainage System"", ""POP Ceiling"", ""Supermarket Nearby"", ""Parking Space"", ""Security"", ""Security doors"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/5-bedroom-house-for-sale-idu-abuja-0NVJU
Modern Contemporary 5 Bed Semi Detached Duplex,Detached Duplex,"4 bedroom House for sale Cowrie Creek Estate Ikate Lekki Lagos selling for ₦1,000,000,000.",1000000000,4,4,5,Cowrie Creek Estate Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-WRF9rjIUI0C09KQEDMOU.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-L0oDI3bcMy36fAP9DEYH.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-SOxoVSzaHqiyaYt8QRPL.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FfZfH66yFZF81XiqYBUK.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-OjxJE1rXWDQzLEQMcgk1.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZwOrSkpdGlt3zQ5X7zih.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-TDtLVY83OFvYMuxlIU89.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZgouDSo7gs0vJc3XcZjg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-79atGlw4xxEbyWi8F7Px.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-lgGm7b19HLBYbxsxyaFO.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-oYtyH8Yu9OVtzXH75oEN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-kmFKv5E5YDUtO8vLaQAc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-n1TiCqKu5oRPxZr3kdFu.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-BcQIGYC4NMEklATa4VaS.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-8NRk2JSTsLEPgQ5PxVzN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-0W5piBo2MQn0EAHibcsg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FlxVXNbckxdkSsSVHveE.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-z0vbjYFwATWgcnQXYLay.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-wZ7gQK4qbygkzSHHyOzc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-axBYXVfxeqkBydnRXCyn.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-mN8MzW9eloTGcT4fDszs.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""Big Compound"", ""24 hours Electricity"", ""All Room Ensuit"", ""Drainage System"", ""Ocean View"", ""Parking Space"", ""C of O"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/4-bedroom-house-for-sale-cowrie-creek-estate-ikate-lekki-lagos-6PBYJ
5 Bedroom Semi Detached Duplex,Detached Duplex,"5 bedroom House for sale Ikate Lekki Lagos selling for ₦330,000,000.",330000000,5,5,6,Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-6HnKN0KpdRX3GtE2KfMm.png"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-ks569KnU8zW9IZ9EouYb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YmtmtcLRMd0cw49TytQH.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YjQCsxoNFVocejVTQTWb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-8VcB4pIsZNVVNmKRQxlU.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-yaIval9EbU9kg9si8Hya.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-p2OdKY2XML7cq0JQIhbj.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-5gVdzZ0uMLgnGbGRSytK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-BGddXULyO6Yjzoqa3VOc.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-vuTr7sE1GoyHebJPPfVu.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-3BD4xeRXIUG1bPIxgclC.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-tcr3AG4cUZcovJpMuYcW.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-0xMdNm1nw8LyCgCcjc6U.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-dd2J8ehZrNDNsZsIpu0t.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-1NWNC
